POB1;SUP;DENSIDAD;X;y;Latitude;Longitude
35;0.33101114706;105.73662038600;670789;2286732;20.67219;-103.3604
0;0.04088154055;0.00000000000;670252;2286834;20.67316;-103.36554
96;0.85999600174;111.62842595300;670258;2285949;20.66517;-103.36557
66;1.09768475574;60.12655241400;670144;2285991;20.66556;-103.36666
77;0.87101779708;88.40232686150;670301;2286065;20.66621;-103.36514
89;1.15822288181;76.84185953990;670434;2286012;20.66572;-103.36387
70;0.55186110172;126.84351149600;670513;2285982;20.66545;-103.36312
38;0.54766586121;69.38537289200;670574;2285957;20.66521;-103.36253
63;0.50079572733;125.79979533000;670652;2285928;20.66494;-103.36179
19;0.62789794780;30.25969437650;670180;2286087;20.66642;-103.3663
0;0.13466465294;0.00000000000;670312;2286120;20.66671;-103.36503
17;0.76699632746;22.16438252880;670474;2286115;20.66665;-103.36348
10;0.37055467767;26.98657068050;670639;2286116;20.66664;-103.3619
108;1.03390822213;104.45801444300;670622;2286050;20.66605;-103.36206
79;0.89902135758;87.87332951960;670783;2286065;20.66617;-103.36052
95;1.01855609136;93.26928659680;670763;2286001;20.66559;-103.36072
45;0.14505444578;310.22834052000;672481;2288868;20.69133;-103.34395
28;0.14653592732;191.07941999100;672416;2288763;20.69039;-103.34458
134;0.51051881405;262.47808368800;672375;2288713;20.68994;-103.34498
111;0.51934056931;213.73258042800;672293;2288707;20.68989;-103.34577
63;0.30882985726;203.99582008900;672210;2288703;20.68987;-103.34657
75;0.32671625864;229.55698719400;672157;2288701;20.68985;-103.34707
39;0.32270870117;120.85202493300;672102;2288698;20.68983;-103.3476
25;0.28609345478;87.38403337290;672105;2288623;20.68915;-103.34758
54;0.29898396667;180.61169166200;672160;2288625;20.68917;-103.34705
75;0.28273493689;265.26612107500;672214;2288627;20.68918;-103.34653
82;0.28633768077;286.37516298600;672266;2288630;20.6892;-103.34604
44;0.15182225675;289.81258046600;672293;2288697;20.6898;-103.34577
78;0.30472199611;255.97101947700;672334;2288635;20.68924;-103.34538
0;0.41420224245;0.00000000000;672025;2288778;20.69056;-103.34833
30;0.37797748935;79.36980599410;672035;2288621;20.68914;-103.34825
0;0.46300076054;0.00000000000;671966;2288619;20.68913;-103.34892
27;1.20447209714;22.41645951290;671961;2288691;20.68978;-103.34896
46;0.62810312312;73.23638158610;672300;2288522;20.68822;-103.34572
73;0.41596625246;175.49500607000;672223;2288518;20.68819;-103.34646
108;0.90469645168;119.37705713300;672167;2288514;20.68816;-103.347
87;0.52244445725;166.52487894500;672306;2288437;20.68745;-103.34567
104;0.38170335723;272.46289043700;672225;2288429;20.68739;-103.34645
117;0.76205728649;153.53176470300;672172;2288426;20.68737;-103.34696
121;0.85488380059;141.53970389600;671741;2288492;20.688;-103.35109
156;0.68806097158;226.72409342100;671890;2288501;20.68807;-103.34966
60;0.70081721760;85.61433494110;671972;2288507;20.68812;-103.34887
162;0.63127932625;256.62174138000;671637;2288395;20.68714;-103.3521
56;0.01693034384;3307.67056658000;673398;2290116;20.70252;-103.33502
0;0.01095214411;0.00000000000;673419;2290068;20.70208;-103.33483
83;0.01843745403;4501.70613840000;673392;2290073;20.70213;-103.33509
90;0.01693034384;5315.89912505000;673421;2290149;20.70281;-103.3348
86;0.02822998559;3046.40608973000;673379;2290053;20.70195;-103.33521
0;0.02133889795;0.00000000000;673392;2289876;20.70035;-103.3351
75;0.03721675152;2015.22155869000;673378;2289956;20.70108;-103.33523
60;0.03321055180;1806.65471500000;673355;2289937;20.70091;-103.33545
33;0.02047931325;1611.38215866000;673358;2289862;20.70023;-103.33543
0;0.01842478745;0.00000000000;673292;2289871;20.70032;-103.33607
0;0.01252498485;0.00000000000;673295;2289813;20.69979;-103.33604
0;0.00594019948;0.00000000000;673332;2289800;20.69967;-103.33569
35;0.03394133861;1031.19091458000;673456;2289460;20.69659;-103.33453
53;0.05588628743;948.35428212800;674665;2288374;20.68667;-103.32303
237;1.04401911002;227.00733897100;674793;2287798;20.68145;-103.32186
76;0.35746395937;212.60884631200;673761;2287694;20.68061;-103.33178
220;0.81645608367;269.45723646300;673698;2287582;20.6796;-103.33239
95;0.92177814299;103.06167565600;673888;2287028;20.67458;-103.33063
57;0.18348781485;310.64733124800;673955;2287069;20.67495;-103.32998
35;0.29253175112;119.64513207800;673977;2287143;20.67561;-103.32976
178;0.76250143252;233.44218438000;673951;2287375;20.67771;-103.32999
56;0.59099867982;94.75486479500;669105;2290109;20.70285;-103.37623
0;0.14862789046;0.00000000000;669279;2288859;20.69154;-103.37468
218;4.48098444550;48.65002381760;669796;2289741;20.69946;-103.36964
0;0.01608425599;0.00000000000;669773;2290079;20.70252;-103.36982
220;2.75998283534;79.71064065440;670037;2290265;20.70417;-103.36727
21;0.04850156718;432.97569998100;669857;2290003;20.70182;-103.36902
18;0.04166522757;432.01492105200;669811;2289981;20.70163;-103.36947
31;0.05613007037;552.28863593800;669821;2290000;20.7018;-103.36937
237;4.51172450789;52.52980309090;669803;2289960;20.70144;-103.36955
0;0.01311881948;0.00000000000;670298;2289410;20.69643;-103.36485
0;0.09602715889;0.00000000000;670286;2288964;20.6924;-103.36501
103;1.59706798398;64.49318440620;670452;2289020;20.69289;-103.36341
284;0.97562100567;291.09664341800;670538;2288949;20.69224;-103.36259
376;1.63018301931;230.64894895000;670670;2289147;20.69402;-103.3613
117;0.75422087516;155.12697122800;670794;2287805;20.68189;-103.36024
112;1.27316404997;87.96981033410;670689;2287411;20.67834;-103.36129
81;0.76493220820;105.89173672100;671092;2287267;20.677;-103.35744
80;0.21207005678;377.23383118200;671845;2290754;20.70843;-103.34987
0;0.04674475184;0.00000000000;670804;2290651;20.70759;-103.35987
61;0.07318329077;833.52360019400;671254;2290802;20.70891;-103.35554
37;0.05090112447;726.89946218000;671261;2290783;20.70874;-103.35547
35;0.04408291454;793.95839324600;671268;2290765;20.70858;-103.35541
23;0.04690710627;490.33082252300;671275;2290746;20.70841;-103.35534
21;0.02885215811;727.84849996200;671281;2290732;20.70828;-103.35528
36;0.07158452789;502.90196865100;671351;2290797;20.70886;-103.35461
27;0.09098074831;296.76607966500;671324;2290810;20.70898;-103.35486
32;0.06166381415;518.94292371200;671325;2290793;20.70883;-103.35486
0;0.17463986718;0.00000000000;670733;2290927;20.71009;-103.36053
33;0.23046281515;143.19012799600;670887;2291103;20.71167;-103.35903
0;0.12611544711;0.00000000000;670991;2291271;20.71317;-103.35802
79;0.26550759917;297.54327276500;671240;2291129;20.71187;-103.35564
0;0.78071507785;0.00000000000;672350;2291452;20.71468;-103.34495
151;0.43040397051;350.83319473500;672346;2291525;20.71534;-103.34498
42;0.30820643634;136.27230014800;672587;2291603;20.71602;-103.34266
90;0.08818853169;1020.54086035000;672574;2291567;20.7157;-103.34279
69;0.07877729866;875.88685035200;672520;2291591;20.71592;-103.34331
59;0.24328505079;242.51387336700;672712;2291641;20.71636;-103.34146
57;0.32442714986;175.69429693200;672759;2291315;20.71341;-103.34104
47;0.39957994114;117.62352200600;672833;2291316;20.71341;-103.34033
28;0.59037384832;47.42757505200;672983;2291319;20.71342;-103.33889
59;0.49458588493;119.29171817800;672907;2291317;20.71341;-103.33962
26;0.12023703270;216.23953466800;673201;2291244;20.71273;-103.3368
0;0.62085590832;0.00000000000;672693;2292020;20.71978;-103.3416
135;0.45891629901;294.17129069400;672666;2291889;20.7186;-103.34188
117;0.45607219918;256.53832925900;672657;2291841;20.71817;-103.34197
105;0.52786464934;198.91462732300;672215;2290103;20.70251;-103.34638
33;0.20767032774;158.90570578400;671954;2290321;20.7045;-103.34886
24;0.03828608287;626.85963676900;672012;2290220;20.70359;-103.34832
17;0.02173420905;782.17707227600;671979;2290212;20.70352;-103.34864
46;0.01351921927;3402.56335016000;672041;2290203;20.70343;-103.34804
32;0.00852569701;3753.35881221000;672035;2290166;20.7031;-103.3481
16;0.00957818665;1670.46233146000;672016;2290167;20.70311;-103.34828
19;0.01845151938;1029.72549886000;671927;2290181;20.70324;-103.34914
14;0.02923055755;478.95083685700;671981;2290171;20.70315;-103.34862
34;0.02581755569;1316.93334593000;672010;2290194;20.70335;-103.34834
227;0.99053552842;229.16896313900;671465;2290096;20.70252;-103.35358
0;0.15547893774;0.00000000000;671042;2289785;20.69975;-103.35767
288;2.50165977449;115.12356833500;671544;2289190;20.69433;-103.35291
0;0.34929873614;0.00000000000;671503;2288692;20.68983;-103.35335
165;0.85441384593;193.11484801700;671637;2288486;20.68796;-103.35209
57;1.00946301107;56.46566478900;672523;2287415;20.6782;-103.34369
110;0.39200341584;280.60979969800;672675;2288863;20.69127;-103.34209
0;0.63676812339;0.00000000000;672179;2289099;20.69345;-103.34682
105;0.50721761253;207.01173895600;672547;2289350;20.69568;-103.34327
4;6.35170226394;0.62975244018;672145;2289134;20.69377;-103.34715
43;0.52196882291;82.38039919750;672536;2289232;20.69461;-103.34338
0;0.07142394839;0.00000000000;673138;2289163;20.69394;-103.33761
83;0.04533838039;1830.67853966000;673437;2289416;20.69619;-103.33472
34;0.02561463475;1327.36618469000;673424;2289482;20.69679;-103.33484
82;0.07527089478;1089.39850171000;673282;2289635;20.69819;-103.33618
82;0.07072164710;1159.47525774000;673268;2289583;20.69772;-103.33632
33;0.03566926133;925.16634128500;673237;2289575;20.69765;-103.33662
131;0.17398207743;752.95111963700;673272;2289548;20.6974;-103.33629
0;0.01108784372;0.00000000000;673317;2289561;20.69751;-103.33586
112;0.07090668119;1579.54085728000;673313;2289605;20.69791;-103.33589
116;0.04350321893;2666.46935251000;673377;2289551;20.69742;-103.33528
76;0.04237746734;1793.40590119000;673385;2289506;20.69701;-103.33521
241;0.24586724909;980.20375180100;673388;2289497;20.69693;-103.33518
89;1.84815415649;48.15615606930;673424;2289753;20.69924;-103.33481
121;0.02468114901;4902.52702426000;673386;2290001;20.70148;-103.33515
53;0.01809693063;2928.67343559000;673371;2289849;20.70011;-103.33531
73;0.05253842759;1389.45917002000;673437;2290189;20.70317;-103.33464
78;0.09228821712;845.17831673700;673437;2290254;20.70376;-103.33464
65;0.06296476196;1032.32344527000;673447;2290295;20.70413;-103.33454
131;0.13510652097;969.60530892500;673455;2290373;20.70483;-103.33445
0;0.03904848250;0.00000000000;673444;2290784;20.70855;-103.33452
17;0.24402445836;69.66514796960;673191;2291946;20.71907;-103.33683
43;0.48958004717;87.83037676520;673351;2291854;20.71822;-103.3353
59;0.36417562277;162.00974560300;672560;2291520;20.71528;-103.34293
0;1.35022380963;0.00000000000;672489;2291545;20.71551;-103.34361
238;1.25695359477;189.34668788900;670861;2291181;20.71237;-103.35927
32;0.02437603746;1312.76463808000;670926;2291316;20.71359;-103.35864
36;0.02425640117;1484.14431891000;670912;2291294;20.71339;-103.35877
37;0.02288058419;1617.09157826000;670903;2291278;20.71324;-103.35886
38;0.01863347800;2039.34015956000;670891;2291260;20.71308;-103.35898
31;0.03409654320;909.18307531800;670876;2291225;20.71277;-103.35912
43;0.02880260490;1492.92052416000;670832;2291288;20.71334;-103.35954
106;0.06430490967;1648.39668609000;670861;2291293;20.71338;-103.35926
42;0.43390194561;96.79606285440;670771;2291101;20.71166;-103.36014
40;0.05125852264;780.35803494400;670764;2291137;20.71198;-103.36021
33;0.04158339956;793.58591050000;670715;2291148;20.71209;-103.36068
0;0.11731810718;0.00000000000;672176;2289065;20.69314;-103.34686
44;0.24562666249;179.13364760000;672235;2288374;20.68689;-103.34636
120;0.62547329679;191.85471324700;670468;2289754;20.69952;-103.36318
0;0.03522230663;0.00000000000;670793;2290563;20.7068;-103.35999
103;0.54547245643;188.82713285800;673265;2289342;20.69554;-103.33638
0;0.10867324141;0.00000000000;671353;2291372;20.71405;-103.35453
65;0.44329545821;146.62906825600;672031;2288693;20.68979;-103.34828
0;0.05586325309;0.00000000000;671390;2289684;20.6988;-103.35434
335;1.49438901616;224.17188320900;671346;2291012;20.7108;-103.35463
3;0.63890049674;4.69556686102;670342;2290780;20.7088;-103.36429
128;0.47599961915;268.90777817800;672915;2291078;20.71125;-103.33957
147;0.48134207405;305.39611624700;672951;2291074;20.71121;-103.33922
111;0.49924339226;222.33644294600;672989;2291069;20.71116;-103.33886
135;0.46757900614;288.72126042500;672731;2291101;20.71148;-103.34133
66;1.57145334544;41.99933786870;672112;2290335;20.70462;-103.34735
0;1.01297969734;0.00000000000;672172;2290229;20.70365;-103.34678
162;1.21659874756;133.15811834000;671109;2286498;20.67005;-103.35735
59;0.73634092114;80.12592850130;671005;2286278;20.66807;-103.35837
158;1.15501674403;136.79455368600;671167;2286655;20.67146;-103.35678
